2020-08-25-1735,9.5,11.1,245.0
2020-08-25-1740,10.3,11.5,255.0
2020-08-25-1745,8.6,9.3,245.0
2020-08-25-1750,9.7,11.3,244.0
2020-08-25-1755,7.6,9.1,245.0
2020-08-25-1800,7.8,9.5,248.0
2020-08-25-1805,9.3,11.1,244.0
2020-08-25-1810,9.7,11.5,241.0
2020-08-25-1815,7.8,8.9,247.0
2020-08-25-1820,9.9,11.1,260.0
2020-08-25-1825,8.6,11.5,248.0
2020-08-25-1830,8.7,9.7,247.0
2020-08-25-1840,10.7,12.4,260.0
2020-08-25-1845,9.1,10.7,252.0
2020-08-25-1850,9.5,10.9,239.0
2020-08-25-1905,10.9,12.2,249.0
2020-08-25-1910,10.7,12.2,233.0
2020-08-25-1915,10.5,11.7,250.0
2020-08-25-1920,9.1,10.7,244.0
2020-08-25-1925,10.3,11.5,247.0
2020-08-25-1930,10.7,12.6,257.0
2020-08-25-1935,10.5,11.9,250.0
2020-08-25-1940,10.9,12.2,244.0
2020-08-25-1945,10.5,12.1,242.0
2020-08-25-1955,10.7,12.2,237.0
2020-08-25-2000,11.9,12.8,248.0
2020-08-25-2005,10.7,11.7,254.0
2020-08-25-2010,9.7,10.9,247.0
2020-08-25-2045,11.3,12.2,239.0
2020-08-25-2055,10.9,11.9,231.0
2020-08-25-2110,11.7,12.8,234.0
2020-08-25-2115,11.9,13.2,234.0
2020-08-25-2120,11.7,13.4,223.0
2020-08-25-2210,11.7,13.6,226.0
2020-08-25-2245,14.0,16.3,220.0
2020-08-25-2255,14.2,15.7,223.0
2020-08-25-2300,14.0,15.9,225.0
2020-08-25-2305,14.4,16.1,228.0
2020-08-25-2310,14.4,17.9,220.0
2020-08-25-2315,15.0,16.3,220.0
2020-08-25-2320,15.6,17.9,237.0
2020-08-25-2325,15.4,17.1,230.0
2020-08-25-2330,16.5,18.1,223.0
2020-08-25-2335,15.7,18.3,223.0
2020-08-25-2340,15.2,16.9,229.0
2020-08-25-2345,15.0,17.3,234.0
2020-08-25-2350,15.4,16.9,230.0
2020-08-25-2355,14.6,16.7,228.0
2020-08-26-0000,16.3,18.1,224.0
2020-08-26-0005,15.0,16.9,227.0
2020-08-26-0010,14.4,16.9,230.0
2020-08-26-0020,14.0,15.9,231.0
2020-08-26-0025,14.8,16.3,231.0
2020-08-26-0030,15.6,16.9,231.0
2020-08-26-0035,16.3,17.7,227.0
2020-08-26-0045,16.5,18.5,230.0
2020-08-26-0050,16.7,18.7,228.0
2020-08-26-0055,16.9,19.2,233.0
2020-08-26-0120,18.7,20.4,231.0
2020-08-26-0125,15.2,17.7,229.0
2020-08-26-0130,18.1,20.8,225.0
2020-08-26-0135,18.9,21.2,224.0
2020-08-26-0140,18.7,20.8,233.0
2020-08-26-0145,17.5,19.8,235.0
2020-08-26-0150,18.3,20.4,228.0
2020-08-26-0155,17.3,19.2,232.0
2020-08-26-0200,18.3,20.6,237.0
2020-08-26-0205,19.8,21.2,233.0
2020-08-26-0210,16.5,18.7,234.0
2020-08-26-0215,18.3,20.6,227.0
2020-08-26-0220,17.1,18.9,234.0
2020-08-26-0225,18.5,20.6,226.0
2020-08-26-0230,16.7,18.9,231.0
2020-08-26-0235,17.5,19.2,231.0
2020-08-26-0240,16.1,17.7,238.0
2020-08-26-0245,18.5,21.2,237.0
2020-08-26-0250,17.5,20.0,235.0
2020-08-26-0255,18.7,20.6,234.0
2020-08-26-0300,20.4,24.1,234.0
2020-08-26-0305,19.8,22.2,231.0
2020-08-26-0310,19.4,22.7,236.0
2020-08-26-0315,18.3,21.0,229.0
2020-08-26-0320,19.8,23.1,230.0
2020-08-26-0325,19.6,21.8,235.0
2020-08-26-0330,21.6,24.1,233.0
2020-08-26-0335,19.8,22.9,231.0
2020-08-26-0340,19.0,22.2,231.0
2020-08-26-0345,20.4,22.7,240.0
2020-08-26-0350,21.0,22.5,239.0
2020-08-26-0355,20.2,22.7,243.0
2020-08-26-0400,20.2,23.7,234.0
2020-08-26-0405,19.8,23.1,240.0
2020-08-26-0410,20.4,24.5,238.0
2020-08-26-0415,19.8,22.4,237.0
2020-08-26-0420,18.9,20.4,244.0
2020-08-26-0425,19.6,22.2,240.0
2020-08-26-0430,21.0,23.5,243.0
2020-08-26-0435,18.5,21.0,246.0
2020-08-26-0440,20.8,25.3,247.0
2020-08-26-0445,21.4,23.7,240.0
2020-08-26-0450,21.4,24.5,238.0
2020-08-26-0455,21.6,25.9,241.0
2020-08-26-0500,20.4,22.7,243.0
2020-08-26-0505,20.4,22.9,240.0
2020-08-26-0510,17.3,20.0,238.0
2020-08-26-0515,17.1,18.5,241.0
2020-08-26-0520,16.5,21.4,243.0
2020-08-26-0525,18.1,19.6,244.0
2020-08-26-0530,14.4,15.7,252.0
2020-08-26-0535,18.3,20.0,269.0
2020-08-26-0540,21.4,24.7,256.0
2020-08-26-0545,19.0,22.5,254.0
2020-08-26-0550,22.7,25.5,251.0
2020-08-26-0555,21.4,23.1,252.0
2020-08-26-0600,20.2,24.3,255.0
2020-08-26-0605,24.1,27.0,251.0
2020-08-26-0610,26.0,30.3,253.0
2020-08-26-0615,23.3,25.5,251.0
2020-08-26-0620,18.9,21.4,245.0
2020-08-26-0625,16.5,19.6,249.0
2020-08-26-0630,18.1,20.4,249.0
2020-08-26-0635,18.7,21.4,251.0
2020-08-26-0640,18.9,21.2,251.0
2020-08-26-0645,18.7,20.8,251.0
2020-08-26-0650,16.7,19.6,248.0
2020-08-26-0655,20.0,23.5,255.0
2020-08-26-0700,18.7,21.2,266.0
2020-08-26-0705,20.2,24.7,266.0
2020-08-26-0710,21.8,25.5,265.0
2020-08-26-0715,20.8,23.3,259.0
2020-08-26-0720,21.0,23.3,261.0
2020-08-26-0725,20.4,22.2,267.0
2020-08-26-0730,21.4,24.1,261.0
2020-08-26-0735,22.7,26.0,258.0
2020-08-26-0740,20.8,23.3,264.0
2020-08-26-0745,21.2,24.9,260.0
2020-08-26-0750,22.9,25.7,257.0
2020-08-26-0755,23.7,27.0,258.0
2020-08-26-0800,20.6,23.3,263.0
2020-08-26-0805,22.2,24.9,265.0
2020-08-26-0810,22.0,24.1,263.0
2020-08-26-0815,21.0,26.2,269.0
2020-08-26-0820,21.4,25.1,265.0
2020-08-26-0825,21.0,25.1,271.0
2020-08-26-0830,20.6,24.9,272.0
2020-08-26-0835,19.2,21.8,273.0
2020-08-26-0840,20.0,23.9,268.0
2020-08-26-0845,20.0,23.9,266.0
2020-08-26-0850,19.0,22.7,264.0
2020-08-26-0855,20.0,22.4,270.0
2020-08-26-0900,19.4,22.5,261.0
2020-08-26-0905,20.2,24.3,265.0
2020-08-26-0910,22.0,24.5,261.0
2020-08-26-0915,21.2,24.9,263.0
2020-08-26-0920,20.0,22.9,263.0
2020-08-26-0925,21.0,23.7,264.0
2020-08-26-0930,20.4,23.3,263.0
2020-08-26-0935,20.4,22.9,270.0
2020-08-26-0940,22.7,24.9,269.0
2020-08-26-0945,22.5,25.5,277.0
2020-08-26-0950,22.2,24.1,301.0
2020-08-26-0955,22.7,25.9,292.0
2020-08-26-1000,26.2,30.9,291.0
2020-08-26-1005,20.8,23.9,290.0
2020-08-26-1010,22.5,28.2,292.0
2020-08-26-1015,18.7,21.4,289.0
2020-08-26-1020,19.8,22.0,282.0
2020-08-26-1025,21.6,24.3,277.0
2020-08-26-1030,22.5,25.5,270.0
2020-08-26-1035,21.6,26.8,263.0
2020-08-26-1040,19.8,22.4,262.0
